t,theta_mean,theta_lo,theta_hi
0.008772912801613356,590.9758807693128,590.7097218466263,591.2729256388318
0.009258810253973945,590.48078792723,590.2002917068962,590.7938445457065
0.009771619672696172,589.9588067990984,589.663224496824,590.2887126365274
0.010312831606721848,589.4085081044991,589.0970544974316,589.7561415310425
0.010884019160690055,588.828390101583,588.5002420618073,589.1946720518723
0.011486842567375536,588.2168753149467,587.8711703208961,588.6027709801482
0.012123054013376516,587.5723071629427,587.2081417936092,587.9788277054693
0.012794502732078734,586.8929464873929,586.5093749050835,587.3211507722237
0.013503140378698722,586.1769679897176,585.7730004180601,586.6279643252514
0.014251026703029978,585.4224565786483,584.9970577836145,585.8974044588722
0.015040335536380237,584.6274036360167,584.1794914189137,585.1275154745026
0.015873361110102086,583.789703208597,583.3181469212715,584.3162460534321
0.01675252472408214,582.9071481356428,582.4107672295848,583.461445352855
0.01768038178457207,581.9774261236252,581.454988746233,582.5608590349659
0.01865962923181746,580.9981157817666,580.448337434757,581.6121252408435
0.019693113379074218,579.9666826342717,579.3882249111134,580.612770522992
0.020783838185797574,578.8804751277399,578.2719445490403,579.5602057528017
0.021934973989050578,577.7367206550849,577.0966676230956,578.451722021843
0.02314986671851161,576.532521620434,575.8594395162561,577.2844865588538
0.024432047621864867,575.2648515729421,574.557176022621,576.0555386875407
0.025785243528842736,573.9305514412556,573.1866597797567,574.7617858538974
0.02721338768375306,572.5263259045286,571.7445368695822,573.3999997557064
0.02872063117797828,571.0487399404343,570.2273136314323,571.9668126112106
0.03031135501567576,569.4942155955657,568.6313537360772,570.4587136086918
0.03199018284775064,567.8590290289851,566.9528755750275,568.8720455838557
0.03376199441111337,566.1393078854878,565.1879500254256,567.2030019775473
0.03563193971228584,564.3310290614011,563.3324986572297,565.4476241324122
0.03760545399658168,562.4300169324445,561.3822924562327,563.6017989936948
0.03968827354637162,560.4319421203625,559.332951143714,561.6612572864478
0.04188645235435271,558.3323208826624,557.1799431811996,559.6215722490115
0.0442063797202853,556.1265152178746,554.9185865568691,557.4781590107181
0.04665479882234473,553.8097337872597,552.5440504585603,555.2262747103763
0.049238826317067365,551.3770337627786,550.0513579470521,552.8610194611718
0.05196597302486197,548.8233237203909,547.4353897522691,550.3773382771597
0.05484416576121015,546.1433677072623,544.6908893241693,547.7700240864788
0.05788177037701274,543.3317906211885,541.8124692792607,545.0337219667174
0.06108761607505033,540.3830850503451,538.7946193927777,542.1629347484334
0.0644710210732387,537.2916197312435,535.6317162954176,539.1520301435669
0.06804181968927094,534.0516497923284,532.3180350419659,535.9952495662519
0.07181039092537349,530.6573289598132,528.847762726924,532.686718824158
0.07578768863625922,527.1027239108756,525.2150143291258,529.2204608687952
0.07998527336796708,523.3818309669435,521.4138509729804,525.5904108029212
0.08441534596012976,519.4885953262009,517.4383007980672,521.7904333520416
0.08909078300934134,515.4169330392203,513.2823826309309,517.814343014625
0.09402517429670122,511.1607559344144,508.9401326526522,513.6559271116909
0.09923286228832545,506.7139997002693,504.40563425257193,509.3089719603978
0.10472898382363585,502.0706553285854,499.67305125193104,504.76729239764643
0.11052951411260209,497.22480411658154,494.7366646705048,500.0247648779232
0.11665131316981961,492.1706564150942,489.5909131939757,495.07536436398806
0.12311217482038896,486.9025942945094,484.2304374790841,489.91320521881227
0.12993087842004158,481.41521827874055,478.65012840684375,484.53258629159114
0.13712724343983995,475.70339826974475,472.84517936058796,478.92804036882546
0.14472218707411344,469.7623287498873,466.81114256457744,473.094388132431
0.15273778503907123,463.58758830612413,460.54398946968877,467.02679672962205
0.1611973357388157,457.1752034676023,454.0401751146203,460.7208430128779
0.17012542798525873,450.52171678609994,447.2967063235466,454.1725814516211
0.17954801246878305,443.624259015991,440.31121352373026,447.37861664925146
0.18949247718738196,436.4806251664824,433.0820258789605,440.33618031893957
0.1999877270535285,429.0893541032319,425.60824933667436,433.04321247816307
0.21106426791015526,421.4498112688176,417.8898470783828,425.49844651464565
0.22275429519995563,413.56227397182784,409.9277217449329,417.7014976545659
0.23509178754572843,405.42801856284285,401.7237986809981,409.6529542274027
0.24811260551377678,397.04940867291464,393.2811093081079,401.3544709706474
0.26185459584742327,388.4299835374271,384.6038735941738,392.80886345243874
0.2763577014736157,379.57454526703066,375.6975804418968,384.020202512038
0.2916640776023704,370.489243759925,366.56906467134564,374.9939074287949
0.3078182142565077,361.18165777898446,357.22657912656086,365.73683633239625
0.32486706558783746,351.6608705466679,347.67986029604214,356.25737216421385
0.3428601863556583,341.93753804474255,337.9401857068021,346.5655022959636
0.36184987596427465,332.023948049711,328.0204212361556,336.6728897131705
0.381891330478185,321.93406779450754,317.93505638998835,326.59293348387473
0.40304280305680507,311.683578029268,307.70022552665995,316.3408160655027
0.4253657732750383,301.2898911663782,297.33371296809906,305.9335348640209
0.4489251258218603,290.7721511457112,286.8549399403115,295.389915359637
0.4737893390963139,280.15121265380037,276.28493133087903,284.73060306372656
0.500030684249109,269.44959738470453,265.64626034732544,273.9780315844012
0.5277254352483532,258.6914251498411,254.96296931360234,263.1563641658351
0.556954090580013,247.902317838168,244.26046505800926,252.29140624176853
0.5878016072274912,237.10927450551952,233.5653876298117,241.41048681881725
0.6203576476104269,226.34051624042527,222.9054514379896,230.54230689146618
0.6547168402004736,215.62529991990158,212.30925833749768,219.71675359730256
0.6909790545715638,204.99370053714887,201.80608269849455,208.96467945476002
0.7292496916841444,194.47636245597874,191.42562908318922,198.31764678935662
0.769639990247115,184.1042207231652,181.19776382251584,187.80763834638276
0.8122673500479711,173.9081944447489,171.0980579697155,177.4667361006425
0.8572556731909315,163.9188551958236,161.20643123480713,167.32677139281154
0.9047357242349293,154.16607446981183,151.55507873913083,157.41895072497556
0.9548455102782284,144.67865526029541,142.17191887567242,147.77346280410504
1.0077306820944596,135.48395397590087,133.083403151544,138.41907369145449
1.0635449574860112,126.60749997791277,124.31415338219581,129.38271814865558
1.1224505680853059,118.07262105349314,115.88660513062375,120.68909640892377
1.1846187309026823,109.90008403799041,107.82066599408874,112.36028657753653
1.2502301459914535,102.10776051297475,100.13339804456467,104.39554834210034
1.319475521676706,94.71032796101652,92.838734206714,96.82465869563329
1.392556128874462,87.71901687920104,85.947238534181,89.66641985263813
1.4696843861124445,81.14141406737545,79.46592014542975,82.92944306635313
1.5510844769528405,74.98133154788027,73.3981099330984,76.61838802461459
1.6369930016117018,69.23874928944358,67.7434080073298,70.73389556648571
1.7276596646690348,63.90983807088029,62.49770813717055,65.27260637778949
1.8233480008684386,58.98706643454058,57.65330321002136,60.22726961211304
1.92433614111598,54.459392790305586,53.19907297348794,55.58694222837565
2.030917620904735,50.31254043114657,49.12075214160585,51.38343114055457
2.1434022335148546,46.52934965436932,45.40127347544166,47.55040404848113
2.2621169304690216,43.090197541348836,42.02117687485028,44.06529547220432
2.387406771860647,39.97347246678419,38.959072075473806,40.906225711863826
2.5196359293170136,37.156087346937575,36.192139493416484,38.04981122463345
2.659188744512691,34.614013260909836,33.696651366950995,35.47170918838625
2.806470846309833,32.32281363426955,31.448493857577432,33.147161855093344
2.9619103297725533,30.258158853646222,29.423670389116815,31.05152030580397
3.1259590004822777,28.396302097529677,27.598767341369257,29.160728208286756
3.299093687770936,26.714499331898878,25.951365289030704,27.451748412885166
3.4818176306889663,25.191359720949297,24.460382184452573,25.902918590516684
3.674661940736688,23.80711691621494,23.10633900373762,24.494226389806254
3.8781871456107195,22.543816481990905,21.871543085896377,23.20749943630554
4.092984818452434,21.38541968963762,20.740189298341992,22.0265105124376
4.319679297334174,20.317828638935033,19.69838383403048,20.937003011899584
4.558929499981059,19.328841735618187,18.73409948300421,19.92664585079312
4.811430839003255,18.408051639342176,17.837074292963408,18.984930109057625
5.077917243205393,17.54669968050253,16.998667422520207,18.10302155636114
5.359163290848515,16.737501354042227,16.211686619214202,17.273583815413094
5.655986461065002,15.974456905977613,15.470201188940958,16.49058630807436
5.9692495099707275,15.252659434384773,14.769352758661759,15.749109519144584
6.2998629783806805,14.568110623242765,14.105173856984193,15.045157793976703
6.648787838417263,13.917551550639,13.474421679393126,14.375487196396724
7.017038286703823,13.29831329114197,12.874431693546187,13.737453221920427
7.405684692262427,12.70818954333963,12.302993253254611,13.1288806650578
7.815856707684091,12.145331454307458,11.758247326507608,12.54795587399155
8.24874655261458,11.608163286389956,11.238604909914505,11.993140092887725
8.705612479099857,11.095316592967126,10.742683717874492,11.463101605041665
9.18778242886332,10.605580083468766,10.269260247661496,10.956663892805421
9.69665789314552,10.13786226390545,9.817234233868133,10.472766922740979
10.233717986325193,9.691164119795676,9.385602700394857,10.010438829394765
10.800523745162518,9.264559450170237,8.973441181439194,9.56877559612306
11.398722666160502,8.857180870334806,8.579890118930159,9.146926723910607
12.030053494233242,8.468209909690366,8.204144882276864,8.744085273052416
12.696351276599728,8.096869998194718,7.845448253048528,8.359481018390348
13.399552696593371,7.742421442305561,7.503084550440178,7.992375758987378
14.141701702890211,7.4041577356123,7.176374837505935,7.642060065565786
14.92495545051829,7.0814027372632395,6.864672847573037,7.307850940371155
15.751590570916212,6.773508393097129,6.567361414279021,6.9890900143513965
16.6240097892661,6.479852780764065,6.283849287925871,6.685142025378555
17.544748908334597,6.199838340067295,6.013568285287614,6.395393416239512
18.51648417912154,5.932890209911735,5.755970758145919,6.119250967128087
19.542040079740513,5.678454638039639,5.510527384636833,5.856140436907327
20.624397525140886,5.435997461947697,5.276725292664421,5.6055052314767755
21.76670253153459,5.205002680787916,5.054066520882069,5.366805146553339
22.972275360711514,4.984971149985145,4.842066813975507,5.139515246577915
24.244620170823257,4.775419434018029,4.6402547383810715,4.923124942461933
25.58743520168584,4.575878849706182,4.448171094547473,4.717137320525972
27.00462352420682,4.385894724010726,4.265368593983942,4.521068756112405
28.500304385181053,4.205025878513575,4.091411764390589,4.334448821400438
30.078825180430957,4.032844339147067,3.9258770441540927,4.156820471529404
31.74477409109187,3.8689352560574384,3.7662318815406017,3.9877404696351757
33.502993419772295,3.712897006142407,3.6121343974697493,3.826779992609922
35.358593665351755,3.5643414409408423,3.4654601315347384,3.673525347214841
37.31696837732748,3.4228942359479584,3.3258598854984274,3.527578721499265
39.38380983288481,3.2881952944941526,3.192996185313458,3.3885588992027493
41.56512558225988,3.159899160123796,3.0665434966463474,3.2561018739885603
43.86725591048494,3.037675395705234,2.946188483524726,3.1298613144321132
46.296892266272586,2.9212088948028687,2.8316302659179486,3.009508847809253
48.86109671160326,2.8102001004477186,2.7225806423217307,2.894734148997697
51.56732244854963,2.704365117485369,2.6187642558854445,2.785244838480754
54.423435483002606,2.6034357161613793,2.5199186957884483,2.6807662090677336
57.43773748826575,2.5071592354423693,2.4257945379265298,2.581040813386013
60.61898993497572,2.415298403670253,2.33615533911641,2.48582795263809
63.976439557484234,2.327631100492746,2.250777605803879,2.3949031110324994
67.51984523072494,2.2439500867877102,2.1694507608456575,2.308057379459155
71.25950633568397,2.164062728008333,2.0919771299313314,2.2250969064704718
75.20629269592408,2.087790730960889,2.018171962716861,2.1458424048880693
79.37167617217543,2.0149699049348455,1.9478634933741676,2.070128729215503
83.76776400682907,1.945449946299923,1.880893032141967,1.9978045237314115
88.40733401525044,1.8790942325784137,1.8171150651369499,1.9287319252344168
93.30387172620361,1.8157795993051493,1.756397325983979,1.8627862896839968
98.47160957933764,1.7553960624996858,1.6986207916747313,1.7998559002101204
