m,nu,minabs
1.1500000000000001,-1.0,0.7553705982641582
1.1625,-1.0,0.7500223324555608
1.175,-1.0,0.7440882366008018
1.1875,-1.0,0.7376100912645145
1.2000000000000002,-1.0,0.7306299898883638
1.2125000000000001,-1.0,0.7231893444578713
1.225,-1.0,0.7153281596189992
1.2375,-1.0,0.7070845451564034
1.25,-1.0,0.6984944213575556
1.2625000000000002,-1.0,0.6895913685342505
1.2750000000000001,-1.0,0.6804065770720336
1.2875,-1.0,0.6709688637511899
1.3,-1.0,0.6613047303028838
1.3125,-1.0,0.6514384489583765
1.3250000000000002,-1.0,0.6413921660771487
1.3375000000000001,-1.0,0.631186018751525
1.35,-1.0,0.6208382611206293
1.3625,-1.0,0.6103653977279098
1.375,-1.0,0.5997823212901615
1.3875000000000002,-1.0,0.589102452172122
1.4000000000000001,-1.0,0.5783378769168123
1.4125,-1.0,0.5674994834362395
1.425,-1.0,0.5565970908859162
1.4375,-1.0,0.5456395727578162
1.4500000000000002,-1.0,0.5346349722549435
1.4625000000000001,-1.0,0.5235906095009741
1.475,-1.0,0.512513180556975
1.4875,-1.0,0.5014088485515831
1.5,-1.0,0.4902833274826376
1.5125000000000002,-1.0,0.4791419594273515
1.5250000000000001,-1.0,0.46798978601985614
1.5375,-1.0,0.45618095909298234
1.55,-1.0,0.4439318552872312
1.5625,-1.0,0.4316719904731862
1.5750000000000002,-1.0,0.41940250000407536
1.5875000000000001,-1.0,0.40712437455180595
1.6,-1.0,0.3948384817870988
1.6125,-1.0,0.382545584453437
1.625,-1.0,0.37024635548154794
1.6375000000000002,-1.0,0.357941390670207
1.6500000000000001,-1.0,0.345631219360985
1.6625,-1.0,0.3333163134549787
1.675,-1.0,0.32099709505527335
1.6875,-1.0,0.30867394296692596
1.7000000000000002,-1.0,0.2963471982443247
1.7125000000000001,-1.0,0.28401716894174994
1.725,-1.0,0.27168413419552034
1.7375,-1.0,0.2593483477436544
1.75,-1.0,0.2470100409709023
1.7625000000000002,-1.0,0.2346694255520744
1.7750000000000001,-1.0,0.22232669575452668
1.7875,-1.0,0.20998203045067437
1.8,-1.0,0.19763559488321225
1.8125,-1.0,0.18528754221904672
1.8250000000000002,-1.0,0.17293801492229186
1.8375000000000001,-1.0,0.16058714597210025
1.85,-1.0,0.14823505994725933
1.8625,-1.0,0.13588187399633103
1.875,-1.0,0.12352769870935723
1.8875000000000002,-1.0,0.1111726389050926
1.9000000000000001,-1.0,0.09881679434565677
1.9125,-1.0,0.08646026038920288
1.925,-1.0,0.074103128589709
1.9375,-1.0,0.06174548725196001
1.9500000000000002,-1.0,0.049387421949084
1.9625000000000001,-1.0,0.03702901600894314
1.975,-1.0,0.024670350975420276
