m,nu,minabs
0.7875000000000001,-1.0,0.6925357004387473
0.8,-1.0,0.7021283200694541
0.8125,-1.0,0.7115229710396038
0.8250000000000001,-1.0,0.7206989912998482
0.8375,-1.0,0.7296334255888423
0.8500000000000001,-1.0,0.7383008245584871
0.8625,-1.0,0.7466730573979061
0.875,-1.0,0.7547191546859877
0.8875000000000001,-1.0,0.762405204281346
0.9,-1.0,0.7696943299528914
0.9125000000000001,-1.0,0.7765467895243721
0.925,-1.0,0.782920235353563
0.9375,-1.0,0.7887701830716465
0.9500000000000001,-1.0,0.7940507320081084
0.9625,-1.0,0.7987155694689045
0.9750000000000001,-1.0,0.8027192681145534
0.9875,-1.0,0.8060188497549949
1.0,-1.0,0.8085755418749287
1.0125,-1.0,0.8103566018332077
1.0250000000000001,-1.0,0.8113370395852704
1.0375,-1.0,0.8115010473067203
1.05,-1.0,0.8108429557050044
1.0625,-1.0,0.809367586422452
1.075,-1.0,0.8070899502972072
1.0875000000000001,-1.0,0.8040343340383151
1.1,-1.0,0.8002329000543053
1.1125,-1.0,0.7957239765564917
1.125,-1.0,0.7905502289143815
1.1375,-1.0,0.784756882010005
1.1500000000000001,-1.0,0.778390119362196
1.1625,-1.0,0.7714957334439053
1.175,-1.0,0.7641180557652064
1.1875,-1.0,0.7562991621442632
1.2000000000000002,-1.0,0.7480783294056005
1.2125000000000001,-1.0,0.7394917117077592
1.225,-1.0,0.7305722034288252
1.2375,-1.0,0.7213494570860903
1.25,-1.0,0.7118500265814062
1.2625000000000002,-1.0,0.7020976070348012
1.2750000000000001,-1.0,0.6921133425457777
1.2875,-1.0,0.6819161729844969
1.3,-1.0,0.6715231912344767
1.3125,-1.0,0.6609499840672942
1.3250000000000002,-1.0,0.6502109336572552
1.3375000000000001,-1.0,0.6393194627847435
1.35,-1.0,0.6282882145721781
1.3625,-1.0,0.6171291661366031
1.375,-1.0,0.6058536834833697
1.3875000000000002,-1.0,0.5944725309659089
1.4000000000000001,-1.0,0.5829958517440704
1.4125,-1.0,0.5714331356325599
1.425,-1.0,0.5597931880590544
1.4375,-1.0,0.5480841096248527
1.4500000000000002,-1.0,0.536313291201409
1.4625000000000001,-1.0,0.5244874255779655
1.475,-1.0,0.5126125339192504
1.4875,-1.0,0.500694003776853
1.5,-1.0,0.48873663491021413
1.5125000000000002,-1.0,0.47674468938128933
1.5250000000000001,-1.0,0.4647219429707959
1.5375,-1.0,0.4526717356793894
1.55,-1.0,0.440597019769176
1.5625,-1.0,0.42850040439079085
1.5750000000000002,-1.0,0.4163841963018173
1.5875000000000001,-1.0,0.40425043651735343
1.6,-1.0,0.39210093296126863
1.6125,-1.0,0.3799372893301254
1.625,-1.0,0.36776093046257435
1.6375000000000002,-1.0,0.3555731245441621
1.6500000000000001,-1.0,0.343375002485094
1.6625,-1.0,0.3311675747978403
1.675,-1.0,0.31895174627982764
1.6875,-1.0,0.30672832877959233
1.7000000000000002,-1.0,0.2944980522956231
1.7125000000000001,-1.0,0.2822615746283898
1.725,-1.0,0.27001948977836543
1.7375,-1.0,0.2577723352575198
1.75,-1.0,0.2455205984582328
1.7625000000000002,-1.0,0.23326472220214506
1.7750000000000001,-1.0,0.2210051095715143
1.7875,-1.0,0.20874212810609208
1.8,-1.0,0.19647611342851745
1.8125,-1.0,0.18420737233883508
1.8250000000000002,-1.0,0.1719361853937273
1.8375000000000001,-1.0,0.1596628089647688
1.85,-1.0,0.14738747679076863
1.8625,-1.0,0.13511040125324408
1.875,-1.0,0.12283177544599187
1.8875000000000002,-1.0,0.1105517790568249
1.9000000000000001,-1.0,0.09827059130856453
1.9125,-1.0,0.08598840283392523
1.925,-1.0,0.07370540612089903
1.9375,-1.0,0.061421771429765
1.9500000000000002,-1.0,0.04913763773273964
1.9625000000000001,-1.0,0.03685312054140194
1.975,-1.0,0.024568322422198353
1.9875,-1.0,0.012283339912707853
2.0,0.0,1.7329525431061954e-06
