seed,Lx,Ly,jitter,NV,NF,rho_v,lambda1,kappa_rms,base_spec,base_curv,v_lambda1,v_aug,g,gprime,mA,mW,mZ,sin2_SM
198849659.0,12.0,12.0,0.25,144.0,288.0,1.0,0.018162505461478316,10.201678043972311,0.1303037086657167,1.0,7.420140369275662,4.843372600593834,0.652,0.357,0.0,1.57893946779359,1.800134086294199,0.23065479691540894
389753630.0,12.0,12.0,0.25,144.0,288.0,1.0,0.001713546403080709,14.404148468291382,0.08034681151777791,1.0,24.15750428019993,15.58242100024071,0.652,0.357,0.0,5.079869246078472,5.791511308892621,0.23065479691540894
546671924.0,12.0,12.0,0.25,144.0,288.0,1.0,5.07288384764982e-05,10.512363441266475,0.1836044629875537,1.0,140.40175639042306,92.78430632323675,0.652,0.357,0.0,30.24768386137518,34.485100829356476,0.23065479691540894
374584543.0,12.0,12.0,0.25,144.0,288.0,1.0,0.009847796641666871,10.191959678199684,0.12594245831324932,1.0,10.076981566289495,6.570844878939409,0.652,0.357,0.0,2.1420954305342477,2.442182920405558,0.23065479691540894
326326735.0,12.0,12.0,0.25,144.0,288.0,1.0,0.004064672024482067,10.06068281283559,0.24267861679595057,1.0,15.68509833534808,10.50475105292599,0.652,0.357,0.0,3.4245488432538727,3.904296034562455,0.23065479691540894
537266306.0,12.0,12.0,0.25,144.0,288.0,1.0,0.00015718903853731035,9.83122131522035,0.18992605242921873,1.0,79.76068428390069,52.78598064180948,0.652,0.357,0.0,17.208229689229892,19.618941359195986,0.23065479691540894
910096443.0,12.0,12.0,0.25,144.0,288.0,1.0,1.0323356540985175e-15,10.323251014173383,0.4189604837218203,1.0,31123579.31646409,695551.6492284121,0.652,0.357,0.0,226749.83764846236,258515.36435596462,0.23065479691540894
953667531.0,12.0,12.0,0.25,144.0,288.0,1.0,0.03036845188436688,10.753093484319516,0.13772695957304146,1.0,5.7383716659291135,3.7521465142804695,0.652,0.357,0.0,1.223199763655433,1.3945585843009685,0.23065479691540894
739850994.0,12.0,12.0,0.25,144.0,288.0,1.0,0.00019202252638543036,10.088029094021739,0.19160867989063163,1.0,72.16455042266419,47.77716918733286,0.652,0.357,0.0,15.575357155070513,17.757318689505304,0.23065479691540894
933858117.0,12.0,12.0,0.25,144.0,288.0,1.0,0.012129862850164319,10.471733329443149,0.25207204086714224,1.0,9.079711612556041,6.093659625134456,0.652,0.357,0.0,1.9865330377938326,2.2648276946800117,0.23065479691540894
