ay,A,B,cA,cB,r,S_raw,w_star,S_star,err_star,z_pred,_source
0.7056,0.2178566435531844,0.2647780898981887,3.5901744545874905,2.7767475412505447,0.2569205023248544,0.2413173667256865,0.719885948310821,0.2309999999999999,-2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2179425746011654,0.2644666468518356,3.5883646269206397,2.7811951408762656,0.2548158209264666,0.2412046107265005,0.7193404453401754,0.231,2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2177308935307125,0.2638219972307439,3.592825500249658,2.790434499384752,0.2527416221096672,0.2407764453807282,0.7121113316000188,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2159874113079478,0.2665205188162122,3.629899464715713,2.7520563311284185,0.276856563200982,0.24125396506208,0.7029157826955926,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2124372924471876,0.2704280966534722,3.707271442223837,2.69784061780165,0.3178444638805896,0.2414326945503299,0.6799025671935643,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2142481420910813,0.26936842946949,3.667485049064646,2.712387535426696,0.3016768980121892,0.2418082857802856,0.6960854395784488,0.231,2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2154717207058669,0.2672108146268852,3.640980248935151,2.7423635020024597,0.2834328039991205,0.2413412676663761,0.6998733816669156,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2143117118609516,0.2686193479294826,3.666100565930871,2.72274003234688,0.2974898430111052,0.2414655298952171,0.6927082571226378,0.231,2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2167883699365888,0.2649019163178952,3.6127935751004654,2.7749821288568977,0.2638370094743147,0.240845143127242,0.7046231023840548,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2139544723270866,0.2680907179353859,3.6738915486245696,2.7300806521806384,0.2969203160628322,0.2410225951312363,0.6851365017765437,0.2309999999999999,-2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
