face_id,area,cx,cy,in_x_band,in_y_band
150,0.0017758944846558188,0.2757075346285402,0.5309419562335039,1,0
151,0.004264721057573805,0.30252342165629226,0.5518589173737577,1,0
152,0.004074811863733122,0.3780531382575658,0.5212490752133039,1,0
153,0.002352447377199223,0.35865538267268665,0.5480829656276233,1,0
154,0.0032720228980079977,0.4330800304701475,0.5180235197302017,1,0
155,0.003466301856818405,0.45958416298528165,0.5480932792216584,1,0
156,0.0032492435785297365,0.5480989451130492,0.5282742076722138,1,0
157,0.0047099594942867275,0.5166133352847969,0.5494435998574986,1,0
158,0.002754134622181886,0.6091507551631946,0.5341377114974227,1,0
159,0.0037860362703942187,0.6411911878477411,0.5567913915818704,1,0
160,0.004082426526505245,0.7206413428321486,0.5342716032702378,1,0
161,0.003294597426014042,0.6994150441188536,0.5633109270533702,1,0
162,0.004495353913745257,0.7741447976260076,0.5280224395808873,1,0
163,0.0025013425509065254,0.7998593187745474,0.553004771867601,1,0
164,0.003518434197890028,0.8757958715483701,0.5286038756446754,1,0
165,0.004079568694394771,0.8491245420417686,0.552138363783003,1,0
166,0.0051559027053291314,0.9349733903258315,0.5286100614654279,1,0
167,0.003874726918707918,0.9628013028194855,0.558212429464504,1,0
168,0.005023163726104084,0.025365838187860312,0.6262634473825336,1,1
169,0.0034837369524406236,0.06134768668648827,0.6578275093095877,1,1
170,0.0032876156532967576,0.14633172408614856,0.6248756004540984,1,1
171,0.0036173026520746982,0.11887544636306897,0.6552048578195654,1,1
172,0.003036393224798408,0.19752621499295395,0.6205263869468246,1,1
173,0.002171323368481598,0.21871493647415438,0.6446239108948619,1,1
174,0.005222919799254834,0.309331889200687,0.6118580403681961,1,0
175,0.003895090265217528,0.27149339604516415,0.6439214142184501,1,0
176,0.0034310077163170493,0.36546385021708133,0.6080820886220617,1,0
177,0.002199163215133622,0.38174404673469153,0.6361799697683216,1,0
178,0.0036335835974144635,0.46656325321983294,0.6135118035411407,1,0
179,0.0041633412355985226,0.4369415616374299,0.6383738156102632,1,0
180,0.004936186335927477,0.5235924255193484,0.6148621241769808,1,0
181,0.004446967298699259,0.5596446454955983,0.6473434772970982,1,0
182,0.0030252259710501672,0.6383966767072399,0.6060787828619052,1,0
183,0.0030081695127680244,0.6109228541706911,0.6370758480828598,1,0
184,0.0028897843842193177,0.6966205329783525,0.6125983183334051,1,0
185,0.0041993227532782585,0.7213319696080154,0.6465215999703475,1,0
186,0.0028313600507490983,0.800474631646967,0.6138101585422243,1,0
187,0.00305813241899436,0.7782452484147947,0.6517904316755856,1,0
188,0.004070286984849723,0.849739854914188,0.6129437504576264,1,0
189,0.0017493864764135838,0.877305390945225,0.638147684786034,1,0
190,0.00355563790324992,0.9638772086155757,0.6251417301518676,1,0
191,0.002652419938293782,0.9369435026463572,0.6442777846195269,1,0
192,0.002545417912799056,0.05426618318482388,0.7052875787216752,1,1
193,0.002177047399477834,0.029479150172475932,0.7300305718940363,1,1
194,0.0025561886651653837,0.1117939428614046,0.7026649272316531,1,1
195,0.00400439576375428,0.13789572192186553,0.7267611403622375,1,1
196,0.0024126475306971104,0.22401096772948118,0.6965680813754642,1,1
197,0.0037605660597601663,0.20146774758566208,0.7268960279234783,1,1
198,0.0038745806926719206,0.27678942730049094,0.6958655846990524,1,0
199,0.0037459823566019217,0.3122856036006682,0.730039534440026,1,0
200,0.002571925772732265,0.3833815464399117,0.6870719643330273,1,0
201,0.00377927379855227,0.36475903306695584,0.7252114067779951,1,0
202,0.003690406205767346,0.43857906134264996,0.689265810174969,1,0
203,0.0023560968267996637,0.4712181711169879,0.718146383693648,1,0
204,0.002637623890129495,0.5595521474018772,0.6979657648074306,1,0
205,0.0026879740664048747,0.5265173456175621,0.7192269972751147,1,0
206,0.001584156487365285,0.6108303560769701,0.6876981355931919,1,0
207,0.004854344759787658,0.641045024977024,0.7123682940455266,1,0
208,0.003710471008068804,0.7196366810693959,0.7007911047872124,1,0
209,0.0033261341440523695,0.6976660908032383,0.7225350468235591,1,0
210,0.002971218237233105,0.7765499598761755,0.7060599364924505,1,0
211,0.0037541231268409005,0.8101000311351813,0.7222353619858931,1,0
212,0.004389646729799152,0.8869089118530621,0.69068788447212,1,0
213,0.0026346640091979537,0.8706640638488589,0.7196396487705163,1,0
214,0.0050439217564157935,0.9465470235541943,0.6968179843056129,1,0
215,0.0029559221096794324,0.9846755450096929,0.733988984937369,1,0
216,0.002095496853357274,0.022459903718359656,0.7829005743396089,1,1
217,0.003170685018554748,0.03931116209662867,0.8043984954452058,1,1
218,0.0028091158046007177,0.13297325856338113,0.773012677169555,1,1
219,0.003800593874875213,0.09893570486884125,0.7951573783169287,1,1
220,0.002660277759806312,0.19654528422717765,0.7731475647307958,1,1
221,0.00291148562495372,0.2212846234137217,0.7933985048613952,1,1
222,0.002822780942931773,0.3124160307794172,0.784612556208014,1,0
223,0.003616298398139246,0.279115973521965,0.8010174931456538,1,0
224,0.0025411478759983825,0.36488946024570484,0.7797844285459831,1,0
225,0.0023524950466358788,0.3841509669589249,0.7943980429570976,1,0
226,0.0029266995128546386,0.46795983916443257,0.7636528858148145,1,0
227,0.00380348277862639,0.4359597227303588,0.7875253691522177,1,0
228,0.0033691980915557915,0.5232590136650067,0.7647334993962812,1,0
229,0.00563142671481354,0.5567320682935571,0.7993949411961362,1,0
230,0.0035216560326892573,0.6469302962039553,0.7689256670804179,1,0
231,0.004406969488662222,0.6171538801481365,0.8001781828956225,1,0
232,0.0024391359613377506,0.7035513620301694,0.7790924198584502,1,0
233,0.0036195332353197917,0.7280065200733131,0.8121465188542177,1,0
234,0.0040844421109812725,0.8099274842431116,0.7760430683990771,1,0
235,0.002911035522917639,0.7788619807610918,0.8146656839377487,1,0
236,0.004189407894415996,0.8704915169567893,0.7734473551837003,1,0
237,0.00410534010782614,0.8983235201872288,0.8057493946353113,1,0
238,0.003305951007623558,0.9776562985555767,0.7868589873829416,1,0
239,0.0018123546486057743,0.9511149323263144,0.8109417905011927,1,0
240,0.0032904854520635013,0.04574543788988472,0.8556194641327738,0,1
241,0.003849311433058048,0.019042433539178116,0.8862691956278876,0,1
242,0.0037489259601488157,0.10536998066209718,0.8463783470044967,0,1
243,0.0028046465401366403,0.13290651445783014,0.8746981535012645,0,1
244,0.004086899171501568,0.21340020838547666,0.851959767267929,0,1
245,0.004306291457969815,0.18215984930012566,0.882173334781471,0,1
246,0.004895683411741675,0.2712315584937199,0.8595787555521874,0,0
247,0.0032084384041561084,0.2982773737580795,0.8915371408424803,0,0
