ay,A,B,S_raw,w_star,S_star,r,err_star
0.8415,0.2443373551965367,0.2363733061469709,0.2403553306717538,0.0,0.2363733061469709,-0.0436215222333424,0.0053733061469709
0.8415,0.2456668665709836,0.2352619076996699,0.2404643871353267,0.0,0.2352619076996699,-0.0569763430872463,0.0042619076996699
0.8415,0.244423288085737,0.2364624430212471,0.2404428655534921,0.0,0.2364624430212471,-0.0435931169877139,0.0054624430212471
0.8415,0.2468527549305826,0.2341365902478134,0.240494672589198,0.0,0.2341365902478134,-0.0696304452429708,0.0031365902478134
0.8415,0.2465697226882273,0.2334197262395456,0.2399947244638865,0.0,0.2334197262395456,-0.0721095094744601,0.0024197262395456
0.8415,0.2480704213586123,0.2336634799120504,0.2408669506353313,0.0,0.2336634799120504,-0.0788094231011233,0.0026634799120503
0.8415,0.2457032936007883,0.2350151547404849,0.2403592241706366,0.0,0.2350151547404849,-0.0585449071791162,0.0040151547404849
0.8415,0.2471706436166221,0.2336349180135193,0.2404027808150707,0.0,0.2336349180135193,-0.0741393261214107,0.0026349180135193
0.8415,0.2468388322602998,0.234930525799407,0.2408846790298534,0.0,0.234930525799407,-0.0651331937175074,0.003930525799407
0.8415,0.2459519824012262,0.2348022701825998,0.240377126291913,0.0,0.2348022701825998,-0.061070787881557,0.0038022701825997
0.8415,0.2479810397796989,0.2325945135411456,0.2402877766604222,0.0,0.2325945135411456,-0.0843094289705708,0.0015945135411456
0.8415,0.2426107688888712,0.237961624106128,0.2402861964974996,0.0,0.237961624106128,-0.0254685869394561,0.0069616241061279
0.8415,0.2471689171134668,0.2337986211524115,0.2404837691329391,0.0,0.2337986211524115,-0.0732159811144119,0.0027986211524115
0.8415,0.2476872114016448,0.2328224562658969,0.2402548338337709,0.0,0.2328224562658969,-0.0814566059166859,0.0018224562658969
0.8415,0.2474265500628748,0.2335887901973271,0.240507670130101,0.0,0.2335887901973271,-0.0757717612775517,0.0025887901973271
0.8415,0.247157167414605,0.2334733538209814,0.2403152606177932,0.0,0.2334733538209814,-0.0749694621972834,0.0024733538209813
0.8415,0.2461243201811732,0.234093310228436,0.2401088152048046,0.0,0.234093310228436,-0.0659498511986254,0.003093310228436
0.8415,0.2472959799008084,0.2331437078968704,0.2402198438988394,0.0,0.2331437078968704,-0.0775582201654025,0.0021437078968703
0.8415,0.2461798844328313,0.2346029507975111,0.2403914176151712,0.0,0.2346029507975111,-0.0634089438274239,0.0036029507975111
0.8415,0.2442077462020014,0.2371727712119686,0.240690258706985,0.0,0.2371727712119686,-0.0384954409759836,0.0061727712119686
0.8415,0.2478176105220204,0.233267130396841,0.2405423704594307,0.0,0.233267130396841,-0.0796683823411927,0.002267130396841
0.8415,0.2440517614716618,0.2369715954249603,0.2405116784483111,0.0,0.2369715954249603,-0.0387624083506832,0.0059715954249603
0.8415,0.2453754208214031,0.2349801704226266,0.2401777956220148,0.0,0.2349801704226266,-0.0569696132516142,0.0039801704226265
0.8415,0.2471411544164057,0.2333439976700156,0.2402425760432107,0.0,0.2333439976700156,-0.0756063481217168,0.0023439976700156
0.8415,0.2477217260080363,0.2332779680320227,0.2404998470200295,0.0,0.2332779680320227,-0.0790933308148496,0.0022779680320227
0.8415,0.2473784592370676,0.2339702072121076,0.2406743332245876,0.0,0.2339702072121076,-0.0733841633758525,0.0029702072121075
0.8415,0.2454016358330585,0.2356866575238012,0.2405441466784298,0.0,0.2356866575238012,-0.0531851972790478,0.0046866575238012
0.8415,0.2472628005831973,0.2334892355050829,0.2403760180441401,0.0,0.2334892355050829,-0.0754483453466732,0.0024892355050828
0.8415,0.2462571925447369,0.2344620146758785,0.2403596036103077,0.0,0.2344620146758785,-0.064610527293021,0.0034620146758785
0.8415,0.246200348722011,0.2346328093774254,0.2404165790497182,0.0,0.2346328093774254,-0.0633529395043241,0.0036328093774254
0.8415,0.2468597870377969,0.2339786109417096,0.2404191989897533,0.0,0.2339786109417096,-0.0705494828279025,0.0029786109417096
0.8415,0.2469138739284816,0.234317866941406,0.2406158704349438,0.0,0.234317866941406,-0.068948503188537,0.0033178669414059
0.8415,0.2473646382065855,0.233165898052539,0.2402652681295622,0.0,0.233165898052539,-0.0778029270627325,0.002165898052539
0.8415,0.2476999132090093,0.2321114634028305,0.2399056883059199,0.0,0.2321114634028305,-0.0855095761584638,0.0011114634028305
0.8415,0.2451901456291875,0.2356301775814665,0.240410161605327,0.0,0.2356301775814665,-0.052356346148574,0.0046301775814664
0.8415,0.2467499269696811,0.2339643042897044,0.2403571156296928,0.0,0.2339643042897044,-0.070038318228554,0.0029643042897044
0.8415,0.2457145338927023,0.2341661715379767,0.2399403527153395,0.0,0.2341661715379767,-0.0633337461349008,0.0031661715379766
0.8415,0.2478151634586126,0.2328083488256415,0.240311756142127,0.0,0.2328083488256415,-0.082222136069388,0.0018083488256415
0.8415,0.2471597077254461,0.233891534722083,0.2405256212237645,0.0,0.233891534722083,-0.0726478858373209,0.002891534722083
0.8415,0.2443333761363501,0.236489907856353,0.2404116419963515,0.0,0.236489907856353,-0.0429540919291884,0.005489907856353
0.8415,0.2480340480717898,0.2326298900614913,0.2403319690666406,0.0,0.2326298900614913,-0.0843954724315245,0.0016298900614913
0.8415,0.2466405200835701,0.2343134028612201,0.2404769614723951,0.0,0.2343134028612201,-0.0675027775794905,0.0033134028612201
0.8415,0.2473360093423644,0.2337462595516501,0.2405411344470073,0.0,0.2337462595516501,-0.0744060758342874,0.0027462595516501
0.8415,0.2435645124492771,0.2368056332371759,0.2401850728432265,0.0,0.2368056332371759,-0.0370376408534596,0.0058056332371759
0.8415,0.2439353102647488,0.2364467402836154,0.2401910252741821,0.0,0.2364467402836154,-0.0410360239495914,0.0054467402836154
0.8415,0.2479621846645636,0.2329005451778246,0.2404313649211941,0.0,0.2329005451778246,-0.0824945868654269,0.0019005451778246
0.8415,0.2475015055908984,0.2333719643055067,0.2404367349482025,0.0,0.2333719643055067,-0.0773857991241888,0.0023719643055067
0.8385,0.2468347171180674,0.234363881137074,0.2405992991275707,0.0,0.234363881137074,-0.0682663093881266,0.003363881137074
0.8385,0.2468733718137606,0.2341018705331607,0.2404876211734606,0.0,0.2341018705331607,-0.0699349677278504,0.0031018705331607
0.8385,0.2466895737351104,0.2333660326720438,0.2400278032035771,0.0,0.2333660326720438,-0.0730546486375813,0.0023660326720437
0.8385,0.2452833243621266,0.2355219785098358,0.2404026514359812,0.0,0.2355219785098358,-0.0534605935831697,0.0045219785098358
0.8385,0.2426885315482964,0.237763741488514,0.2402261365184052,0.0,0.237763741488514,-0.0269832984867668,0.0067637414885139
0.8385,0.2440790191840866,0.237453212296936,0.2407661157405113,0.0,0.237453212296936,-0.0362484383027672,0.0064532122969359
0.8385,0.2448781392083596,0.2359329724479083,0.240405555828134,0.0,0.2359329724479083,-0.0489893226536577,0.0049329724479083
0.8385,0.2439685691812579,0.2370004295431307,0.2404844993621943,0.0,0.2370004295431307,-0.0381519664590144,0.0060004295431306
