seed,Lx,Ly,jitter,NV,NE,NF,total_area,rho_phys,lambda1,base_spec
10976328,12,12,0.218012114968059,144,432,288,482.517072894531,0.2984350359587704,0.00028597195506075633,0.0505927617313306
45727587,12,12,0.28658445080924727,144,432,288,486.1998034123443,0.2961745335751897,0.006854556505889341,0.008843881977240613
52006375,12,12,0.3138499694593945,144,432,288,486.04628801558835,0.2962680788858975,0.0010618932653321989,0.03305031408857891
29350155,12,12,0.28332862482929433,144,432,288,487.0638321474029,0.2956491336363905,0.003314461284150749,0.023603066333860726
77520484,12,12,0.30220767564057277,144,432,288,481.6559166956768,0.2989686101810789,0.03815926095496856,0.0029014191315029315
88708697,12,12,0.10620830281675697,144,432,288,483.8296143783047,0.2976254361466326,0.007383311522273394,0.02111093784203897
67764056,12,12,0.2281373619229261,144,432,288,479.0687949764589,0.3005831344266037,0.0018215434631770073,0.005618635118476557
11961339,12,12,0.17008723790725844,144,432,288,485.21148254210584,0.29677780757693406,0.009090040910687129,0.02168805784121291
45213172,12,12,0.23280527225292125,144,432,288,480.6830711497242,0.29957368720219935,0.009975308527244398,0.04830895672640501
597816,12,12,0.3471586408571653,144,432,288,487.674834364218,0.2952787182216054,0.021426284059488352,0.011559115174325682
42016837,12,12,0.1503220713940707,144,432,288,482.4832603170667,0.2984559503792309,0.005907359430513528,0.0578335695005385
25687579,12,12,0.18518620976408684,144,432,288,481.98723908623333,0.2987630964525114,0.004055067309037992,0.029224607399655163
98400343,12,12,0.11325049063636983,144,432,288,484.4771914236746,0.29722761473423465,0.01091529817140382,0.06022937577584507
