face,area,cx,cy,in_x,in_y
268,0.0031061474380370377,0.19114533442545614,0.9462058011012248,0,1
269,0.00294868799095791,0.21855542348918763,0.9785861677280779,0,1
270,0.003891906126470508,0.29358105375977916,0.955826637021706,0,0
271,0.0024297738063003265,0.2675304752115595,0.9814801116114893,0,0
272,0.0030472457881025672,0.35012786977719274,0.9497686719682511,0,0
273,0.004869636810383199,0.3796428546202999,0.9771110343243109,0,0
274,0.0042752261608236565,0.46153350967356643,0.9392138832991493,0,0
275,0.0034585561098274663,0.43624453191903384,0.9741058463166281,0,0
276,0.004853751104653043,0.524802467352037,0.9342641178363328,0,0
277,0.004291651028934653,0.5489379952562451,0.9677909018226202,0,0
278,0.002468399173434825,0.6449136417747804,0.938930474948538,0,0
279,0.004958794085695537,0.6073243531967703,0.9626079194932383,0,0
280,0.001311570253583814,0.6924638381027068,0.9432194105418205,0,0
281,0.004672569026859936,0.7169127915394736,0.9719618174262484,0,0
282,0.0050529924056003615,0.8017675442435866,0.9403018450174261,0,0
283,0.005141062091358506,0.7773021459496526,0.9806063562363426,0,0
284,0.00428501104084809,0.8585965060020871,0.9483969523454823,0,0
285,0.001917590207356869,0.8871688885918015,0.9786000194187375,0,0
286,0.005184701276859763,0.9767001343527029,0.9517313692668096,0,0
287,0.0025659035699530973,0.9405768043702313,0.9774955199262627,0,0
