alpha,dt,mu,beta,kappa,mscale,c0,ein_rms,ein_rel,mom_rms_abs,mom_rel,mom_rms_abs_src,mom_rel_src,score
4.05,0.1,0.006,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,1.3708739907519683,0.9999999999992705,1.3708739907519683,0.9999999999992705,1.3547529468869468
4.05,0.13,0.006,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,1.371030790060326,0.9999999999992706,1.371030790060326,0.9999999999992706,1.354752946886947
4.05,0.15,0.006,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,1.371133954727294,0.9999999999992706,1.371133954727294,0.9999999999992706,1.354752946886947
4.05,0.17,0.006,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,1.3712360352061645,0.9999999999992707,1.3712360352061645,0.9999999999992707,1.354752946886947
4.1,0.1,0.003,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,0.694213732748184,0.9999999999985596,0.694213732748184,0.9999999999985596,1.354927398287172
4.1,0.13,0.003,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,0.6942551556938437,0.9999999999985596,0.6942551556938437,0.9999999999985596,1.354927398287172
4.1,0.17,0.003,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,0.694309876815256,0.9999999999985597,0.694309876815256,0.9999999999985597,1.3549273982871721
4.1,0.15,0.003,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,0.6942825887855094,0.9999999999985597,0.6942825887855094,0.9999999999985597,1.3549273982871721
4.1,0.1,0.004,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,0.9256796506333826,0.9999999999989198,0.9256796506333826,0.9999999999989198,1.3549273982874377
4.1,0.17,0.004,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,0.9258485471514554,0.99999999999892,0.9258485471514554,0.99999999999892,1.354927398287438
4.1,0.15,0.004,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,0.9258007175713905,0.9999999999989199,0.9258007175713905,0.9999999999989199,1.354927398287438
4.1,0.13,0.004,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,0.9257525476787681,0.9999999999989199,0.9257525476787681,0.9999999999989199,1.354927398287438
4.1,0.1,0.005,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,1.1571755647643092,0.9999999999991358,1.1571755647643092,0.9999999999991358,1.3549273982875971
4.1,0.13,0.005,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,1.1572883135253678,0.9999999999991358,1.1572883135253678,0.9999999999991358,1.3549273982875971
4.1,0.17,0.005,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,1.157436329491589,0.9999999999991359,1.157436329491589,0.9999999999991359,1.3549273982875973
4.1,0.15,0.005,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,1.1573626504282204,0.9999999999991359,1.1573626504282204,0.9999999999991359,1.3549273982875973
4.1,0.13,0.006,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,1.3888617876171916,0.9999999999992799,1.3888617876171916,0.9999999999992799,1.3549273982877035
4.1,0.1,0.006,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,1.3887010763570857,0.9999999999992798,1.3887010763570857,0.9999999999992798,1.3549273982877035
4.1,0.15,0.006,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,1.3889675084946094,0.99999999999928,1.3889675084946094,0.99999999999928,1.3549273982877037
4.1,0.17,0.006,14.501633573355106,1.0,0.008320106122227377,-104.44837047037082,256.8387987996143,0.9142364325666121,1.3890721043029246,0.99999999999928,1.3890721043029246,0.99999999999928,1.3549273982877037
4.15,0.1,0.003,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,0.7031357638840813,0.9999999999985778,0.7031357638840813,0.9999999999985778,1.3551012249987946
4.15,0.13,0.003,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,0.7031782238568126,0.9999999999985779,0.7031782238568126,0.9999999999985779,1.3551012249987946
4.15,0.17,0.003,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,0.7032343084835943,0.999999999998578,0.7032343084835943,0.999999999998578,1.3551012249987946
4.15,0.15,0.003,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,0.7032063414310148,0.999999999998578,0.7032063414310148,0.999999999998578,1.3551012249987946
4.15,0.13,0.004,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,0.9376519400922653,0.9999999999989335,0.9376519400922653,0.9999999999989335,1.355101224999057
4.15,0.1,0.004,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,0.937577227465144,0.9999999999989334,0.937577227465144,0.9999999999989334,1.355101224999057
4.15,0.15,0.004,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,0.9377013042800605,0.9999999999989336,0.9377013042800605,0.9999999999989336,1.3551012249990573
